DisplayName,UserId,Id,Score,Text
Archibald,1478655,26730310,849,Please stop supporting IE5/IE6
Teemu Leisti,351716,27140701,54,"@Jörg W Mittag: I disagree. ""Class"" and ""processor speed"" (to pick an example) are two completely different concepts, but ""class"" and ""type"" are closely related concepts. For instance, here's what [the Wikipedia article on Class](http://en.wikipedia.org/wiki/Class_%28computer_programming%29) says: ""In object-oriented programming, a class is a construct that is used to define a distinct type."" tadman was being helpful to the questioner."
Jonik,56285,26659725,37,"[Guava](https://code.google.com/p/guava-libraries/) equivalent: `int count = CharMatcher.is('.').countIn(""a.b.c.d"");`
...As [answered by dogbane](http://stackoverflow.com/a/3764170/56285) in a duplicate question."
Jonik,56285,26348450,29,"@rgin: Yes, it is. But sometimes you miss the obvious solution when fixated on something else (like `array_push`). :)"
eis,365237,26342911,26,"note that this function can also lead you very wrong. in particular, HTTP_X_FORWARDED_FOR can be anything a client chooses to set, whereas REMOTE_ADDR is considerably harder to fake, if client wants to get the actual response."
eis,365237,26716912,13,"+1 for giving an actual solution. I have no control over 3rd party code, which is a singleton, and have a need for solutions, not advised on how it should be done."
eis,365237,26918065,13,"in addition to Marks comments, I don't get this: ""myVar === undefined will raise an error in the situation where myVar is undeclared."" - why is this bad? Why would I *not* want to have an error if I'm referencing undeclared variables?"
Teemu Leisti,351716,27144621,12,"@Jörg W Mittag: I continue to assert that ""class"" and ""type"" are certainly not completely different concepts in OO, as demonstrated by the quote. (Also: how do you declare a variable in Java? By giving *either* the *type* or the *class* of the variable, followed by its name: ""`int i`"" or ""`Integer j`"".) tadman answered the question in a way that seemed to satisfy both the questioner and the general audience, while clarifying the terminology Ruby uses. I have no interest in getting into academic hair-splitting over the finer points of object-oriented terminology, so please have the last word."
eis,365237,26717742,11,"@mgaert it does, but you have to use `getDeclaredField()` instead of `getField()` for target class"
Kayaman,2541560,26780533,10,I'd be worried about a Java developer that tests for zero with a bitwise OR.
Esailija,995876,27007364,10,Living proof that you should insert semicolons =D
Esailija,995876,26447385,9,This should be the minimal answer to why questions :D
buggedcom,194480,26871307,9,"@IanWood - not really. Take for example `I <3 PHP` - if checking for html using strip_tgs like this `strlen(strip_tags($string)) !== strlen($string)`, it will incorrectly determine that it contains html, when in fact it doesn't. I'm not saying that this answer is the best way to determine if the string contains html, but it is definitely not overkill."
Jonik,56285,26718467,9,"(Additionally, for the Ant build to work, I needed to [generate build.xml](http://stackoverflow.com/a/15718940/56285) for the appcompat project, using `/opt/android-sdk-macosx/tools/android update project -p /opt/android-sdk-macosx-r22.0.1/extras/android/support/v7/appcompat`.)"
Esailija,995876,26735094,8,"I don't see any array, I see a method assignment to a function object"
Esailija,995876,26633368,7,"@bobbybee to give you a practical example, [look at all these people crying and having a huge sense of entitlement](https://code.google.com/p/v8/issues/detail?id=164) when they relied on something they shouldn't have but what appeared to work just fine for a decade. Maybe they didn't know about the risks but now you do."
Esailija,995876,26659727,6,The performance ship has pretty much sailed when using frameworks like knockout.
Kayaman,2541560,27210502,6,"Maybe your phone is upside down. No seriously though, that can't happen. The problem is in your disp() method or somewhere else."
Kayaman,2541560,26502866,5,Ask the interviewers. Who knows what they consider flaws.
Esailija,995876,26735010,5,@milkshake array element? what?
Ilmari Karonen,411022,27144419,4,"@Zanii: That's all right, it can be easily generalized to any number of allowed adjacent elements, see my answer below. (Ps. +1 to adi for inspiration.)"
msvalkon,300791,26569414,4,"My assumption is that it's a buffering issue. Everything you write to a file is written through a buffer and will not end up in the file until that buffer is determined to be full (not entirely true, but you can think of it this way). You should really use the `with`-statement when dealing with files, which handles the `file.close`-call automatically."
Nakedible,146423,26568843,4,"Oh, it's likely deterministic. It's exactly the same thing as when the C standard leaves something to be implementation defined behavior. The reason it is like this is that different implementors can pick different implementation choices."
Jonik,56285,27207372,4,A good practice would be to define variables using the interface types `List` and `Set` (instead of implementation types `ArrayList` and `HashSet` as in your example).
Hieu Nguyen,2527433,26458399,4,why don't you use: `cls.objects.filter(next_task__test__in=test_list)` ?
Esailija,995876,26570464,4,"It is 10x faster in chrome for me, how is that barely? The differences between unoptimized and optimized code are so radical that if you didn't know about compiler optimizations, you wouldn't be able to explain the differences without sounding unauthentic."
Esailija,995876,26633512,4,But the element is still in the html and parsed before any angular takes effect. Let's say your element name is `<cloak>` or `<shadow>` and in future it means any elements under it become shadow dom or whatever. Then angular code for that would break. Just an example.
zvona,212878,26766821,4,"You have a mistake on your code, it's: if($(""#pause"").offset().top >=100 && $(""#pause"").offset().top < 150) { ... }"
Esailija,995876,26652259,4,"@fusio yes, you can do something like `inherits(Mouse, Animal);` that cleans up the inheritance set up a bit. The difference is that you are creating new function identity for each instantiated object instead of sharing one function. If you have 10 mice, you have created 10 function identities (that is only because mouse has one method, if it had 10 methods, 10 mice would create 100 function identities, your server would quickly waste most of its CPU on GC :P), even though you will not use them for anything. The language doesn't have enough expressive power to optimize this away currently."
eis,365237,26342937,3,"also, even if it is not faked, there are lots of setups where it will just be populated with clients internal network ip, which would be useless."
Esailija,995876,26771154,3,Please give practical and rational explanation on why diff is not acceptable solution. This is like asking how to add 2 numbers to together (other than using addition operator I mean). FML.
eis,365237,26510492,3,static imports needed are `import static org.junit.Assert.assertThat; import static org.hamcrest.CoreMatchers.containsString;` - just to save someone from trouble
liding,616647,26530119,3,"here is the new command to run the generator,
# rails g refinery:i18n"
Esailija,995876,26910081,3,"@Qantas94Heavy [V8 is mostly undocumented](https://news.ycombinator.com/item?id=6237120). It is tough to refer to a single line in source for this, but basically if you follow through the [DeleteProperty function here](https://github.com/v8/v8/blob/325d5384e9caf5281866f560fcc76abf8e2ed180/src/objects.cc#L5187), you will notice it will end up calling [`NormalizeProperties`](https://github.com/v8/v8/blob/325d5384e9caf5281866f560fcc76abf8e2ed180/src/objects.cc#L4517) on the object - which means turning optimized properties into a hash table format (or not doing anything if they were so already)."
Vincent van der Weele,2095090,26837454,3,+1 And I wasn't strong enough in Python to write the code ;-)
Esailija,995876,26493304,3,Lol even at version 28 the only improvement they have done is to add pretty much undiscoverable tooltip that this is happening.
Teemu Leisti,351716,26464082,3,"@Bryan: To venture a guess, you might want to do this in a banking application, when converting a currency amount that the user has input, in order to deal with only integers inside the application: for instance, converting dollars and cents to cents. This method will avoid any rounding errors that might crop up unexpectedly when dealing with floating-point numbers. When a currency amount needs to be shown to the user, the cent amount can be converted to dollars and cents. (Though that is not what the questioner asked about.)"
Esailija,995876,26570352,3,"I already told you that my benchmark is set up in a way that enables browser optimizations for the tests. All other tests run unoptimized. Yes, in unoptimized code, elseif is faster. Who cares? Why would I care about the speed of unoptimized code? If you care, then that's fine by me but you should say that, because most people don't. Btw the reason for this is that the author of benchmark.js deliberately has code in place to try disable optimizations, not because you have to do something magical to enable optimizations."
eis,365237,27216380,3,@Marijke so add that as an answer and accept that. That's the way to mark a question as solved.
Esailija,995876,26540908,3,"Hackers do not need your javascript for anything, they just directly go for the server. The server **must** protect itself."
Esailija,995876,26460898,3,"That's not a class, it most closely resembles a singleton instance which is the way one can get away without doing in OOP in OOP languages actually :D"
Esailija,995876,26511447,3,"The closure GC problem/memory leak in V8 requires for `outsidethisscope` to reference at least another variable in its outer scope, and `users` to be referenced in at least some other inner function. The latter is required for `users` to be context allocated and the former is required for `outsidethisscope` to have a pointer to the context and thus keep it alive even when it's not necessary."
Vincent van der Weele,2095090,26547907,3,@SwiftAppDesign check the log: `Caused by: java.lang.IllegalArgumentException: Illegal character in path at index 45: http://www.bbc.co.uk/nature/tools/search/Type text here...`
Vincent van der Weele,2095090,26578234,3,Suppressing warnings is not gonna solve errors.
Kayaman,2541560,26769890,3,"It's amazing that people still think synchronization is somehow slow, and go through extraordinary convoluted designs even when there is absolutely no indication that there's a bottleneck or that it would help even a little bit."
Kayaman,2541560,26816132,3,"Try ""./conf/Config.properties"" as the path."
Kayaman,2541560,26298692,3,"Use double quotes for Strings. Why do you have 'null', when in all the other places you've used the correct format?"
Kayaman,2541560,26830502,3,"You probably want to use a String literal, i.e. ""Hello"" instead of Hello."
Esailija,995876,26510394,2,"If you don't give any specifics then people will assume you are doing CRUD and give memory is cheap answers. For example there is huge relative performance cost in using AngularJS, but yet it usually doesn't matter because of the nature of the applications it is aimed at."
Vincent van der Weele,2095090,26639678,2,"Is the leading space in `' ""+(facedWords.get(i)).trim()+""'` on purpose? It seems wrong..."
Vincent van der Weele,2095090,26491043,2,I think [Jon Skeet's answer](http://stackoverflow.com/a/2420405/2095090) to [this question](http://stackoverflow.com/q/2420389/2095090) explains it quite well.
Vincent van der Weele,2095090,26540447,2,"What characters do you allow in the string? Obviously, if you can have  256 options (or more), you cannot encode this in a hexadecimal string of less than 22 characters."
Vincent van der Weele,2095090,26547622,2,Based on your edit: `IllegalArgumentException != NullPointerException`. You use an invalid URL character in `WikiID`.
Vincent van der Weele,2095090,26832080,2,"What have you tried? A linear algorithm should be really easy to implement. (But of course, a binary search would be better.)"
Vincent van der Weele,2095090,26639824,2,"Tnx, but just mark the other answer as accepted. It's not a competition :)"
João Nunes,1393275,27130108,2,"great solution, must be accepted"
Vincent van der Weele,2095090,26836589,2,"Congratulations on a nicely asked question! The problem is that the naive approach (comparing every pair against all other pairs) results in a quadratic running time. How is the distribution of your points? If they are all in a relatively small space (were small is in the order of `vertex_spacing`), this would be a difficult problem, otherwise you could do some simple optimizations (I will post them as an answer based on the distribution)."
Kayaman,2541560,26816161,2,You want to use recursion and you have a working solution that uses recursion? I don't see the problem.
